savingsOverOnDemand,interruptionFrequency,instanceType
24,15-20%,m6i.2xlarge
62,<5%,c5d.9xlarge
44,>20%,m5dn.24xlarge
16,<5%,g5g.4xlarge
6,10-15%,c6a.16xlarge
70,<5%,x2iedn.xlarge
40,10-15%,r6g.12xlarge
10,<5%,m6g.large
33,>20%,r6a.32xlarge
67,>20%,r6gd.8xlarge
22,5-10%,m6gd.xlarge
51,<5%,i4g.4xlarge
12,>20%,m7g.large
70,<5%,d3.8xlarge
70,5-10%,x2iedn.4xlarge
27,10-15%,m5ad.8xlarge
41,>20%,r6i.32xlarge
38,<5%,m5d.xlarge
65,15-20%,m5.xlarge
83,>20%,t1.micro
70,5-10%,trn1n.32xlarge
37,15-20%,m5n.metal
11,5-10%,m7g.medium
0,10-15%,a1.metal
50,>20%,r5d.16xlarge
33,5-10%,c6in.4xlarge
70,>20%,p3dn.24xlarge
48,<5%,x2gd.2xlarge
37,>20%,m5n.large
34,5-10%,c6i.4xlarge
50,<5%,x2gd.4xlarge
18,5-10%,c6gn.2xlarge
49,<5%,r5b.2xlarge
70,5-10%,x2iedn.32xlarge
32,<5%,t3.large
60,5-10%,c6i.8xlarge
56,<5%,r6in.8xlarge
8,15-20%,c6gd.4xlarge
70,10-15%,x2iezn.2xlarge
44,<5%,m3.2xlarge
55,5-10%,m5zn.12xlarge
56,15-20%,c6gd.2xlarge
0,<5%,t3a.nano
36,>20%,m6id.4xlarge
25,>20%,h1.4xlarge
20,15-20%,c6i.metal
89,>20%,m1.large
70,<5%,x2iezn.8xlarge
84,>20%,m1.xlarge
30,>20%,r6g.2xlarge
18,5-10%,c6gn.4xlarge
45,>20%,m5.16xlarge
70,>20%,x1e.4xlarge
46,>20%,r4.16xlarge
52,5-10%,m6idn.4xlarge
0,<5%,c6g.xlarge
39,>20%,r5a.4xlarge
42,<5%,m4.large
50,5-10%,r5n.2xlarge
9,>20%,c6gd.16xlarge
51,5-10%,x2gd.8xlarge
37,10-15%,r6g.xlarge
14,>20%,m5a.4xlarge
12,>20%,m5a.12xlarge
70,5-10%,g4dn.xlarge
6,<5%,c6a.2xlarge
70,10-15%,i4i.metal
13,10-15%,m5a.large
48,5-10%,c5.12xlarge
36,>20%,m6id.metal
67,<5%,d3en.6xlarge
21,5-10%,t4g.2xlarge
43,>20%,m5.4xlarge
28,15-20%,c3.2xlarge
15,5-10%,m6a.xlarge
48,>20%,g2.8xlarge
26,>20%,c6i.12xlarge
70,>20%,i3.2xlarge
50,15-20%,r6id.xlarge
30,>20%,m4.16xlarge
33,<5%,vt1.24xlarge
70,<5%,trn1.2xlarge
50,<5%,r5b.4xlarge
50,5-10%,r6id.large
47,10-15%,m5d.12xlarge
38,5-10%,r6gd.medium
40,10-15%,r6i.metal
51,10-15%,m6g.8xlarge
54,10-15%,m5zn.6xlarge
67,<5%,i3en.large
70,>20%,f1.4xlarge
29,>20%,r6g.medium
50,<5%,r5b.24xlarge
56,>20%,r5dn.24xlarge
35,>20%,r6a.24xlarge
50,>20%,r6id.12xlarge
25,>20%,c6id.12xlarge
37,10-15%,m5n.16xlarge
1,5-10%,c7g.medium
42,>20%,c6i.24xlarge
14,5-10%,m6a.16xlarge
28,>20%,m6i.24xlarge
1,5-10%,t3a.small
56,<5%,i4i.large
18,5-10%,c6i.large
10,5-10%,m6g.metal
8,5-10%,c6gd.xlarge
33,>20%,r6a.12xlarge
28,>20%,m6i.12xlarge
80,>20%,m2.xlarge
52,>20%,m6idn.metal
28,5-10%,m5ad.xlarge
57,<5%,r6in.large
34,5-10%,r6a.large
45,>20%,m5.24xlarge
11,5-10%,m7g.12xlarge
33,15-20%,r7g.16xlarge
45,<5%,m3.xlarge
65,>20%,z1d.metal
5,10-15%,c7g.16xlarge
59,>20%,x2idn.metal
54,>20%,z1d.2xlarge
48,<5%,x2gd.medium
35,>20%,m5.metal
84,>20%,m1.medium
55,15-20%,r5dn.metal
46,5-10%,m6in.xlarge
12,<5%,m7g.metal
52,<5%,r4.large
40,<5%,r6gd.xlarge
51,5-10%,r5n.12xlarge
19,<5%,t2.2xlarge
51,<5%,r5d.xlarge
26,10-15%,c6id.4xlarge
33,5-10%,r7g.medium
33,>20%,r5a.12xlarge
70,<5%,x2iedn.16xlarge
46,10-15%,m6a.8xlarge
36,<5%,c4.large
61,>20%,r6idn.12xlarge
2,<5%,t4g.large
65,>20%,g4dn.8xlarge
5,5-10%,c5a.2xlarge
61,5-10%,i4i.8xlarge
32,<5%,r7g.xlarge
20,>20%,c6a.metal
51,>20%,g4dn.12xlarge
70,<5%,is4gen.large
52,<5%,i4g.xlarge
28,5-10%,m6gd.8xlarge
59,<5%,r6in.24xlarge
38,>20%,m5.12xlarge
79,>20%,m2.2xlarge
26,5-10%,m6gd.16xlarge
63,15-20%,r6g.8xlarge
67,>20%,z1d.6xlarge
66,>20%,i3.metal
38,>20%,c5n.18xlarge
23,5-10%,t3.2xlarge
45,<5%,r5ad.4xlarge
67,5-10%,d3en.4xlarge
88,>20%,m2.4xlarge
29,>20%,m4.4xlarge
0,<5%,t4g.nano
50,>20%,r6id.2xlarge
51,5-10%,r5n.xlarge
51,5-10%,r4.2xlarge
6,<5%,t4g.xlarge
49,>20%,g5.24xlarge
37,10-15%,r7g.metal
57,5-10%,r6in.metal
22,<5%,m6gd.large
51,15-20%,i4g.large
70,<5%,im4gn.4xlarge
22,>20%,inf1.24xlarge
61,10-15%,r6idn.32xlarge
38,<5%,g5g.2xlarge
50,>20%,r5n.24xlarge
32,>20%,r7g.8xlarge
27,>20%,c6id.metal
22,<5%,vt1.3xlarge
4,10-15%,c6a.32xlarge
22,<5%,t2.xlarge
1,>20%,a1.xlarge
25,5-10%,c6id.2xlarge
70,>20%,p3.16xlarge
25,10-15%,c4.2xlarge
38,15-20%,c5d.24xlarge
1,<5%,c6g.2xlarge
23,15-20%,c5.metal
3,5-10%,c7g.2xlarge
46,>20%,m6in.24xlarge
0,>20%,a1.2xlarge
70,>20%,g5.2xlarge
16,5-10%,t3.micro
56,>20%,r5.24xlarge
14,>20%,c6a.12xlarge
46,>20%,m6in.12xlarge
4,<5%,c5a.large
23,<5%,t3.nano
36,>20%,m6id.16xlarge
6,>20%,c5a.12xlarge
50,>20%,r6id.16xlarge
36,>20%,r6a.4xlarge
43,<5%,r5ad.xlarge
10,5-10%,t4g.small
22,<5%,vt1.6xlarge
34,<5%,c6in.large
12,15-20%,m7g.4xlarge
70,>20%,x1.16xlarge
39,>20%,g5.16xlarge
14,<5%,c5ad.large
13,<5%,c5ad.2xlarge
29,>20%,m6g.xlarge
68,10-15%,i3en.12xlarge
59,5-10%,x2idn.16xlarge
37,10-15%,c6in.metal
70,>20%,p4d.24xlarge
23,10-15%,m6gd.2xlarge
27,>20%,inf1.2xlarge
70,10-15%,m5d.metal
17,10-15%,m6a.24xlarge
57,10-15%,i4i.2xlarge
14,15-20%,m5a.2xlarge
20,15-20%,c6a.8xlarge
45,>20%,m5dn.16xlarge
63,15-20%,m5.8xlarge
58,>20%,i3.large
33,5-10%,r7g.4xlarge
67,<5%,d3.xlarge
74,>20%,r4.8xlarge
70,>20%,x1.32xlarge
1,>20%,a1.4xlarge
70,<5%,x2iedn.24xlarge
20,>20%,m6a.metal
46,<5%,m6in.4xlarge
44,<5%,m5dn.large
50,5-10%,c6g.4xlarge
26,<5%,m5ad.large
62,5-10%,c4.8xlarge
59,>20%,i4i.32xlarge
70,>20%,x1e.xlarge
67,>20%,r5.12xlarge
23,>20%,m6i.metal
29,>20%,r6g.large
70,<5%,is4gen.4xlarge
56,10-15%,im4gn.16xlarge
25,>20%,m4.10xlarge
51,>20%,r6id.8xlarge
72,<5%,r5.large
12,<5%,c5ad.xlarge
16,<5%,c6gn.12xlarge
33,>20%,r6a.48xlarge
25,<5%,t2.small
54,>20%,r3.4xlarge
33,>20%,r5a.xlarge
32,10-15%,r7g.12xlarge
70,<5%,x2iedn.metal
69,<5%,d3en.xlarge
12,15-20%,m7g.16xlarge
31,>20%,c5n.4xlarge
39,>20%,h1.16xlarge
70,>20%,p2.xlarge
68,<5%,d3en.8xlarge
45,5-10%,m5dn.2xlarge
21,<5%,m6gd.medium
49,5-10%,r5b.8xlarge
62,5-10%,c5.9xlarge
30,>20%,c6id.16xlarge
50,>20%,r6id.32xlarge
20,>20%,m6gd.4xlarge
50,10-15%,c6g.16xlarge
68,5-10%,d3en.12xlarge
14,10-15%,c5ad.12xlarge
25,5-10%,c6id.large
17,10-15%,m6a.4xlarge
21,10-15%,t2.medium
36,15-20%,c6in.32xlarge
70,>20%,d2.2xlarge
2,>20%,c7g.8xlarge
27,10-15%,m5ad.12xlarge
50,<5%,r5d.large
33,>20%,c6in.12xlarge
1,10-15%,t4g.medium
57,<5%,r6in.xlarge
70,>20%,inf2.xlarge
55,>20%,z1d.xlarge
46,>20%,m6in.metal
61,<5%,r6idn.2xlarge
69,10-15%,i3en.2xlarge
57,5-10%,r6in.16xlarge
33,15-20%,r5a.large
45,5-10%,r6i.large
26,<5%,g4ad.8xlarge
55,>20%,r5dn.12xlarge
47,10-15%,t3.medium
26,10-15%,t3.small
34,<5%,c3.4xlarge
4,>20%,c5a.24xlarge
37,5-10%,c5d.12xlarge
56,<5%,i4g.16xlarge
46,<5%,m6in.large
63,15-20%,g4dn.2xlarge
33,<5%,c6gn.16xlarge
1,5-10%,c6g.medium
15,>20%,m5a.8xlarge
42,10-15%,m5d.4xlarge
31,>20%,inf1.xlarge
39,>20%,r6gd.metal
43,<5%,c5d.large
45,5-10%,r5ad.8xlarge
17,5-10%,c6gn.xlarge
24,15-20%,m6gd.12xlarge
44,>20%,r6i.4xlarge
15,>20%,c6i.xlarge
37,>20%,m6id.32xlarge
52,<5%,r5d.2xlarge
37,<5%,m5d.large
70,<5%,d3.2xlarge
26,>20%,c6id.8xlarge
52,<5%,m6idn.2xlarge
70,>20%,i2.4xlarge
54,>20%,i3.4xlarge
31,5-10%,c5n.2xlarge
54,<5%,m6g.4xlarge
70,>20%,d2.4xlarge
62,5-10%,r6idn.metal
46,15-20%,r5ad.16xlarge
34,5-10%,c6in.2xlarge
27,10-15%,m6i.large
52,>20%,i3.16xlarge
63,>20%,r6i.8xlarge
62,5-10%,r6idn.16xlarge
45,>20%,r6gd.16xlarge
52,>20%,g3.16xlarge
60,5-10%,g5g.xlarge
28,15-20%,c3.xlarge
30,>20%,c6id.32xlarge
56,<5%,i4i.xlarge
16,>20%,inf1.6xlarge
14,>20%,m5a.24xlarge
70,5-10%,x2iezn.12xlarge
36,5-10%,g5g.metal
52,>20%,m6idn.16xlarge
48,<5%,x2gd.large
45,10-15%,m5dn.metal
46,>20%,m6in.16xlarge
61,5-10%,r6idn.24xlarge
55,<5%,r5dn.large
4,15-20%,c7g.4xlarge
70,<5%,x2iezn.4xlarge
36,10-15%,m6id.large
6,<5%,m6g.medium
14,<5%,c5a.xlarge
25,>20%,m6i.xlarge
9,5-10%,c6g.metal
84,>20%,c1.xlarge
63,>20%,g5.12xlarge
55,5-10%,im4gn.8xlarge
32,>20%,c5n.9xlarge
27,>20%,m5ad.24xlarge
45,>20%,r6i.24xlarge
70,<5%,is4gen.xlarge
46,>20%,g2.2xlarge
70,<5%,t2.micro
33,>20%,c6in.16xlarge
37,>20%,m5d.24xlarge
32,15-20%,m5.large
70,>20%,d2.8xlarge
49,10-15%,r5n.metal
70,>20%,x1e.8xlarge
49,5-10%,r5b.16xlarge
8,<5%,c6gd.large
70,>20%,p2.16xlarge
36,<5%,inf2.48xlarge
52,>20%,m6idn.12xlarge
52,15-20%,m6idn.24xlarge
52,>20%,r5d.12xlarge
62,15-20%,c5.18xlarge
55,15-20%,m5zn.metal
70,<5%,is4gen.8xlarge
51,<5%,i4g.2xlarge
44,10-15%,m5dn.4xlarge
40,5-10%,c5.2xlarge
16,5-10%,m6a.32xlarge
31,5-10%,c5n.xlarge
34,10-15%,c6in.8xlarge
72,<5%,r5.xlarge
16,10-15%,c6i.2xlarge
37,>20%,m5n.2xlarge
47,>20%,g5.8xlarge
54,<5%,m5zn.large
31,<5%,c5n.large
55,<5%,im4gn.large
28,5-10%,m5ad.16xlarge
18,10-15%,c6gd.8xlarge
43,5-10%,r5ad.2xlarge
31,<5%,inf2.8xlarge
54,5-10%,m5zn.2xlarge
44,5-10%,m5dn.8xlarge
61,<5%,r6idn.large
45,<5%,m6in.2xlarge
27,5-10%,m5ad.4xlarge
38,5-10%,m5d.2xlarge
42,10-15%,r6i.2xlarge
70,<5%,is4gen.2xlarge
1,<5%,g5g.16xlarge
48,<5%,x2gd.16xlarge
58,10-15%,x2idn.32xlarge
46,<5%,c3.8xlarge
50,5-10%,c6g.8xlarge
53,5-10%,r5n.4xlarge
72,>20%,r5.8xlarge
51,>20%,r6id.metal
61,<5%,r6idn.4xlarge
70,5-10%,x2iedn.8xlarge
14,5-10%,c5ad.8xlarge
67,<5%,m4.xlarge
37,>20%,r6a.8xlarge
58,>20%,g4dn.4xlarge
40,>20%,m5n.12xlarge
28,5-10%,c4.xlarge
70,>20%,x1e.32xlarge
7,10-15%,c7g.12xlarge
0,>20%,a1.medium
57,5-10%,r6in.12xlarge
50,<5%,r5b.metal
5,5-10%,t3a.large
43,>20%,r6gd.12xlarge
57,5-10%,r6in.32xlarge
49,<5%,x2gd.xlarge
54,5-10%,m6g.16xlarge
37,15-20%,m5n.24xlarge
36,>20%,r5a.24xlarge
39,>20%,m6i.8xlarge
56,<5%,g4ad.xlarge
49,5-10%,r5b.12xlarge
35,>20%,r5a.16xlarge
33,>20%,r6a.metal
72,<5%,r5.2xlarge
54,10-15%,m5zn.3xlarge
1,<5%,g5g.8xlarge
27,<5%,c5d.xlarge
67,<5%,d3.4xlarge
50,>20%,r6id.4xlarge
55,<5%,im4gn.xlarge
43,5-10%,m6i.16xlarge
35,>20%,r5a.8xlarge
12,>20%,m7g.xlarge
56,<5%,r6in.4xlarge
70,>20%,r5d.8xlarge
47,>20%,m6in.8xlarge
85,>20%,m1.small
36,>20%,m6id.12xlarge
14,15-20%,c5ad.4xlarge
23,5-10%,t2.large
70,>20%,i2.2xlarge
28,5-10%,c6a.4xlarge
45,<5%,m5dn.xlarge
67,5-10%,d3en.2xlarge
70,10-15%,g5.xlarge
63,>20%,r3.8xlarge
52,5-10%,m6idn.8xlarge
61,>20%,i3.8xlarge
49,15-20%,r6g.16xlarge
62,<5%,r6idn.xlarge
52,5-10%,m6idn.large
38,<5%,g4ad.2xlarge
33,5-10%,c6in.xlarge
1,<5%,c7g.xlarge
35,15-20%,inf2.24xlarge
49,15-20%,c4.4xlarge
70,>20%,x1e.2xlarge
2,5-10%,t3a.2xlarge
8,<5%,c6gd.medium
20,5-10%,m6a.large
12,5-10%,m5a.xlarge
54,<5%,c5d.4xlarge
28,>20%,m6i.4xlarge
62,15-20%,c5.24xlarge
43,5-10%,r5ad.12xlarge
34,>20%,r5a.2xlarge
33,5-10%,r7g.large
25,5-10%,m6g.12xlarge
45,<5%,m3.medium
38,<5%,r6gd.large
51,>20%,r5n.16xlarge
58,>20%,i4i.16xlarge
53,>20%,z1d.3xlarge
55,>20%,r5d.24xlarge
70,>20%,p3.8xlarge
53,>20%,z1d.large
32,>20%,r7g.2xlarge
56,5-10%,im4gn.2xlarge
44,5-10%,m5d.8xlarge
57,>20%,g3.4xlarge
12,15-20%,m7g.2xlarge
16,15-20%,c5ad.24xlarge
37,>20%,m6id.2xlarge
30,5-10%,c3.large
54,>20%,r5d.metal
54,<5%,m5zn.xlarge
41,15-20%,r6gd.2xlarge
70,<5%,trn1.32xlarge
29,>20%,r6g.metal
53,>20%,r5n.8xlarge
16,5-10%,m6a.2xlarge
39,5-10%,c5.xlarge
50,>20%,r6id.24xlarge
25,<5%,c6id.xlarge
37,>20%,m6id.8xlarge
55,5-10%,r5dn.2xlarge
1,<5%,c7g.large
42,10-15%,r6g.4xlarge
43,5-10%,m5n.xlarge
70,<5%,dl1.24xlarge
26,>20%,h1.2xlarge
1,<5%,t3a.micro
18,>20%,c6a.48xlarge
84,>20%,c1.medium
67,15-20%,i3en.metal
70,>20%,p3.2xlarge
70,<5%,i3en.3xlarge
70,>20%,x1e.16xlarge
49,<5%,r5b.xlarge
70,>20%,f1.16xlarge
49,5-10%,r5n.large
70,>20%,g3s.xlarge
52,>20%,m6idn.32xlarge
42,>20%,g4dn.16xlarge
2,5-10%,c6a.large
70,>20%,p2.8xlarge
0,>20%,a1.large
26,<5%,m5ad.2xlarge
55,15-20%,r5dn.16xlarge
41,>20%,r6gd.4xlarge
72,10-15%,r5.4xlarge
11,>20%,m7g.8xlarge
57,15-20%,i4i.4xlarge
48,<5%,x2gd.12xlarge
57,5-10%,r5dn.4xlarge
56,<5%,r3.large
49,10-15%,x2gd.metal
46,15-20%,m6in.32xlarge
25,10-15%,c6a.24xlarge
53,<5%,m6idn.xlarge
42,<5%,r5ad.large
20,5-10%,t3.xlarge
66,<5%,c5d.18xlarge
2,5-10%,c7g.metal
26,10-15%,g4ad.16xlarge
30,15-20%,c6i.16xlarge
33,15-20%,c6in.24xlarge
33,10-15%,c6i.32xlarge
68,<5%,i3en.xlarge
55,5-10%,r3.2xlarge
52,>20%,r4.4xlarge
1,>20%,t3a.medium
38,<5%,c5d.2xlarge
38,15-20%,m5n.8xlarge
70,>20%,f1.2xlarge
68,10-15%,i3en.6xlarge
9,>20%,c6gd.12xlarge
70,<5%,x2iezn.6xlarge
44,>20%,g3.8xlarge
37,10-15%,m5n.4xlarge
7,>20%,c5n.metal
59,>20%,g5.4xlarge
19,<5%,m6g.2xlarge
57,<5%,r6in.2xlarge
55,>20%,r5dn.8xlarge
3,15-20%,c5a.16xlarge
62,<5%,c5.4xlarge
70,<5%,x2iedn.2xlarge
1,5-10%,c6g.large
51,10-15%,r5d.4xlarge
64,>20%,r6i.12xlarge
2,15-20%,t3a.xlarge
8,5-10%,c6g.12xlarge
52,5-10%,r5ad.24xlarge
70,>20%,i2.8xlarge
61,<5%,r6idn.8xlarge
61,>20%,g4dn.metal
36,>20%,m6id.24xlarge
59,<5%,x2idn.24xlarge
29,>20%,h1.8xlarge
56,>20%,z1d.12xlarge
44,<5%,m3.large
44,10-15%,r6i.xlarge
34,5-10%,r6a.xlarge
18,5-10%,c6gn.large
3,10-15%,c6a.xlarge
6,10-15%,c5a.4xlarge
70,<5%,r4.xlarge
34,<5%,c5.large
17,10-15%,c6gn.medium
37,15-20%,m6id.xlarge
70,10-15%,i3en.24xlarge
61,>20%,g5.48xlarge
1,<5%,t4g.micro
70,>20%,r5.16xlarge
70,5-10%,is4gen.medium
42,15-20%,m5d.16xlarge
25,5-10%,c5ad.16xlarge
70,>20%,d2.xlarge
26,>20%,m6i.32xlarge
65,15-20%,m5.2xlarge
24,>20%,m6gd.metal
55,<5%,r5dn.xlarge
44,15-20%,m5dn.12xlarge
43,>20%,r6i.16xlarge
49,5-10%,r5b.large
3,>20%,c5a.8xlarge
19,5-10%,c6gn.8xlarge
26,5-10%,m6a.12xlarge
34,>20%,r6a.16xlarge
30,5-10%,m4.2xlarge
27,>20%,c6id.24xlarge
55,5-10%,r3.xlarge
70,<5%,x2iezn.metal
72,5-10%,r5.metal
54,>20%,i3.xlarge
14,>20%,m5a.16xlarge
34,10-15%,r6a.2xlarge
55,<5%,i4g.8xlarge
7,5-10%,c6gd.metal
26,<5%,g4ad.4xlarge
70,>20%,i2.xlarge
15,>20%,m6a.48xlarge
50,15-20%,c5d.metal
